Deutschland;männlich;weiblich
Schleswig-Holstein;1443269;1510001
      Flensburg, kreisfreie Stadt;45874;46676
      Kiel, kreisfreie Stadt;120149;127568
      Lübeck, kreisfreie Stadt, Hansestadt;104723;113372
      Neumünster, kreisfreie Stadt;39256;40246
      Dithmarschen, Kreis;66561;68691
      Herzogtum Lauenburg, Kreis;99689;104023
      Nordfriesland, Kreis;82669;86374
      Ostholstein, Kreis;97822;105784
      Pinneberg, Kreis;157663;164467
      Plön, Kreis;63357;67909
      Rendsburg-Eckernförde, Kreis;137154;141825
      Schleswig-Flensburg, Kreis;101614;104424
      Segeberg, Kreis;140654;144334
      Steinburg, Kreis;65268;67151
      Stormarn, Kreis;120816;127157
Hamburg;925616;966506
Niedersachsen;4009822;4130420
    Braunschweig, Statistische Region;796058;814807
      Braunschweig, kreisfreie Stadt;124770;127034
      Salzgitter, kreisfreie Stadt;51829;52719
      Wolfsburg, kreisfreie Stadt;62441;63520
      Gifhorn, Landkreis;89675;90557
      Goslar, Landkreis;66690;67982
      Helmstedt, Landkreis;45648;46822
      Northeim, Landkreis;65576;67682
      Peine, Landkreis;68750;70181
      Wolfenbüttel, Landkreis;59652;60879
      Göttingen, Landkreis;161027;167431
Hannover, Statistische Region;1067013;1113045
      Region Hannover, Landkreis;573513;600378
      Hannover, Landeshauptstadt;266093;278952
      Diepholz, Landkreis;110415;112401
      Hameln-Pyrmont, Landkreis;72781;77859
      Hildesheim, Landkreis;135757;142614
      Holzminden, Landkreis;35112;35799
      Nienburg (Weser), Landkreis;61060;62409
      Schaumburg, Landkreis;78375;81585
Lüneburg, Statistische Region;864122;893035
      Celle, Landkreis;89138;92856
      Cuxhaven, Landkreis;98150;103263
      Harburg, Landkreis;128854;133036
      Lüchow-Dannenberg, Landkreis;23981;25197
      Lüneburg, Landkreis;91180;96372
      Osterholz, Landkreis;56813;59738
      Rotenburg (Wümme), Landkreis;83960;83644
      Heidekreis;72697;72697
      Stade, Landkreis;104302;106004
      Uelzen, Landkreis;45906;48456
      Verden, Landkreis;69141;71772
Weser-Ems, Statistische Region;1282629;1309533
      Delmenhorst, kreisfreie Stadt;38557;39828
      Emden, kreisfreie Stadt;25071;25464
      Oldenburg (Oldenburg), kreisfreie Stadt;82742;90088
      Osnabrück, kreisfreie Stadt;80755;86611
      Wilhelmshaven, kreisfreie Stadt;37268;38821
      Ammerland, Landkreis;62498;65755
      Aurich, Landkreis;94234;97838
      Cloppenburg, Landkreis;89720;87981
      Emsland, Landkreis;171160;166892
      Friesland, Landkreis;48749;51528
      Grafschaft Bentheim, Landkreis;70508;70761
      Leer, Landkreis;86640;87708
      Oldenburg, Landkreis;66240;67673
      Osnabrück, Landkreis;181603;184618
      Vechta, Landkreis;73728;73196
      Wesermarsch, Landkreis;44652;44916
      Wittmund, Landkreis;28504;29855
Bremen;338233;346631
      Bremen, kreisfreie Stadt;280842;288554
      Bremerhaven, kreisfreie Stadt;57391;58077
Nordrhein-Westfalen;8890200;9248916
    Düsseldorf, Regierungsbezirk;2565963;2695194
      Düsseldorf, kreisfreie Stadt;303510;325537
      Duisburg, kreisfreie Stadt;247892;254319
      Essen, kreisfreie Stadt;284152;300428
      Krefeld, kreisfreie Stadt;111189;117237
      Mönchengladbach, kreisfreie Stadt;132961;135504
      Mülheim an der Ruhr, kreisfreie Stadt;83069;89335
      Oberhausen, kreisfreie Stadt;102910;107914
      Remscheid, kreisfreie Stadt;55709;56904
      Solingen, kreisfreie Stadt;78038;82605
      Wuppertal, kreisfreie Stadt;175788;183088
      Kleve, Kreis;158966;160324
      Mettmann, Kreis;236563;253231
      Rhein-Kreis Neuss;221712;235552
      Viersen, Kreis;146635;154247
      Wesel, Kreis;226869;238969
Köln, Regierungsbezirk;2216694;2310900
      Bonn, kreisfreie Stadt;160769;175696
      Köln, kreisfreie Stadt;526588;558243
      Leverkusen, kreisfreie Stadt;80681;85067
      Städteregion Aachen, Kreis;283670;278889
      Aachen, kreisfreie Stadt;131493;120643
      Düren, Kreis;134058;136775
      Rhein-Erft-Kreis;232974;245152
      Euskirchen, Kreis;97449;99798
      Heinsberg, Kreis;129489;132344
      Oberbergischer Kreis;135188;140216
      Rheinisch-Bergischer Kreis;138313;147900
      Rhein-Sieg-Kreis;297515;310820
    Münster, Regierungsbezirk;1309671;1354609
      Bottrop, kreisfreie Stadt;57364;60749
      Gelsenkirchen, kreisfreie Stadt;130545;132455
      Münster, kreisfreie Stadt;153935;167011
      Borken, Kreis;189377;189693
      Coesfeld, Kreis;110765;113927
      Recklinghausen, Kreis;301126;318606
      Steinfurt, Kreis;227186;229278
      Warendorf, Kreis;139373;142890
    Detmold, Regierungsbezirk;1028145;1057186
      Bielefeld, kreisfreie Stadt;163149;175183
      Gütersloh, Kreis;184955;186354
      Herford, Kreis;124664;128887
      Höxter, Kreis;70597;71222
      Lippe, Kreis;171767;178821
      Minden-Lübbecke, Kreis;156058;159916
      Paderborn, Kreis;156955;156803
    Arnsberg, Regierungsbezirk;1769727;1831027
      Bochum, kreisfreie Stadt;178377;187365
      Dortmund, kreisfreie Stadt;290847;302470
      Hagen, kreisfreie Stadt;92810;96973
      Hamm, kreisfreie Stadt;89104;91745
      Herne, kreisfreie Stadt;77053;80315
      Ennepe-Ruhr-Kreis;157717;167476
      Hochsauerlandkreis;130454;131193
      Märkischer Kreis;201533;208813
      Olpe, Kreis;67321;67118
      Siegen-Wittgenstein, Kreis;137437;139699
      Soest, Kreis;152175;153893
      Unna, Kreis;194899;203967
Hessen;3151158;3240202
    Darmstadt, Regierungsbezirk;2013342;2074765
      Darmstadt, kreisfreie Stadt, Wissenschaftsstadt;82530;79713
      Frankfurt am Main, kreisfreie Stadt;380566;392502
      Offenbach am Main, kreisfreie Stadt;66650;67520
      Wiesbaden, kreisfreie Stadt, Landeshauptstadt;135153;147930
      Bergstraße, Landkreis;135926;139279
      Darmstadt-Dieburg, Landkreis;148978;151680
      Groß-Gerau, Landkreis;140349;139959
      Hochtaunuskreis;115782;123706
      Main-Kinzig-Kreis;212330;218508
      Main-Taunus-Kreis;118745;123675
      Odenwaldkreis;48156;49421
      Offenbach, Landkreis;178293;183844
      Rheingau-Taunus-Kreis;92814;96800
      Wetteraukreis;157070;160228
    Gießen, Regierungsbezirk;525963;541391
      Gießen, Landkreis;136879;141785
      Lahn-Dill-Kreis;126692;130597
      Limburg-Weilburg, Landkreis;86675;88209
      Marburg-Biedenkopf, Landkreis;122463;127221
      Vogelsbergkreis;53254;53579
    Kassel, Regierungsbezirk;611853;624046
      Kassel, kreisfreie Stadt, documenta-Stadt;99986;104216
      Fulda, Landkreis;113060;114396
      Hersfeld-Rotenburg, Landkreis;60827;60739
      Kassel, Landkreis;117984;122734
      Schwalm-Eder-Kreis;91370;91225
      Waldeck-Frankenberg, Landkreis;79226;79928
      Werra-Meißner-Kreis;49400;50808
Rheinland-Pfalz;2054254;2104896
    Koblenz, Statistische Region;751360;771148
      Koblenz, kreisfreie Stadt;56506;58762
      Ahrweiler, Landkreis;63413;64748
      Altenkirchen (Westerwald), Landkreis;64960;66507
      Bad Kreuznach, Landkreis;78730;82577
      Birkenfeld, Landkreis;40508;41252
