Hochschulname;TrÃ¤gerschaft;Anzahl Studierende;Ort (Hausanschrift)
Fachhochschule Aachen;oeffentlich-rechtlich;14086;Aachen
Rheinisch-Westfaelische Technische Hochschule Aachen;oeffentlich-rechtlich;45527;Aachen
Hochschule Aalen - Technik und Wirtschaft;oeffentlich-rechtlich;4559;Aalen
Hochschule Albstadt-Sigmaringen;oeffentlich-rechtlich;2666;Sigmaringen
Alanus Hochschule fuer Kunst und Gesellschaft;privat, staatlich anerkannt;1564;Alfter
Ostbayerische Technische Hochschule Amberg-Weiden;oeffentlich-rechtlich;4077;Amberg
Hochschule Anhalt - Anhalt University of Applied Sciences;oeffentlich-rechtlich;7067;Koethen
Hochschule fuer angewandte Wissenschaften Ansbach;oeffentlich-rechtlich;3898;Ansbach
Technische Hochschule Aschaffenburg;oeffentlich-rechtlich;3559;Aschaffenburg
Technische Hochschule Augsburg;oeffentlich-rechtlich;7025;Augsburg
Universitaet Augsburg;oeffentlich-rechtlich;19089;Augsburg
EHIP - Europaeische Hochschule fuer Innovation und Perspektive;privat, staatlich anerkannt;;Backnang
Hochschule fuer Polizei Baden-Wuerttemberg;oeffentlich-rechtlich;2337;Villingen-Schwenningen
Hochschule fuer Rechtspflege Schwetzingen;oeffentlich-rechtlich;716;Schwetzingen
Hochschule fuer oeffentliche Verwaltung und Finanzen Ludwigsburg;oeffentlich-rechtlich;2792;Ludwigsburg
Hochschule fuer oeffentliche Verwaltung Kehl;oeffentlich-rechtlich;1421;Kehl
accadis Hochschule Bad Homburg;privat, staatlich anerkannt;448;Bad Homburg
Internationale Hochschule Liebenzell (IHL);privat, staatlich anerkannt;305;Bad Liebenzell
Otto-Friedrich-Universitaet Bamberg;oeffentlich-rechtlich;10734;Bamberg
Hochschule fuer den oeffentlichen Dienst in Bayern;oeffentlich-rechtlich;4907;Muenchen
Hochschule fuer evangelische Kirchenmusik der Evangelisch-Lutherischen Kirche in Bayern;kirchlich, staatlich anerkannt;26;Bayreuth
Universitaet Bayreuth;oeffentlich-rechtlich;11924;Bayreuth
Akkon-Hochschule;privat, staatlich anerkannt;1406;Berlin
Alice Salomon Hochschule Berlin;oeffentlich-rechtlich;4299;Berlin
bbw Hochschule;privat, staatlich anerkannt;822;Berlin
Bard College Berlin, A Liberal Arts University;privat, staatlich anerkannt;312;Berlin
Berliner Hochschule fuer Technik;oeffentlich-rechtlich;12296;Berlin
Berlin International University of Applied Sciences;privat, staatlich anerkannt;530;Berlin
Barenboim-Said Akademie;privat, staatlich anerkannt;77;Berlin
BSP Business and Law School - Hochschule fuer Management und Recht;privat, staatlich anerkannt;1750;Berlin
CODE University of Applied Sciences;privat, staatlich anerkannt;610;Berlin
Digital Business University of Applied Sciences;privat, staatlich anerkannt;282;Berlin
DHGS Deutsche Hochschule fuer Gesundheit und Sport;privat, staatlich anerkannt;1865;Berlin
ESCP Europe Wirtschaftshochschule Berlin e.V.;privat, staatlich anerkannt;1254;Berlin
ESMT European School of Management and Technology;privat, staatlich anerkannt;820;Berlin
Evangelische Hochschule Berlin;kirchlich, staatlich anerkannt;1696;Berlin
Touro College Berlin;privat, staatlich anerkannt;129;Berlin
Freie Universitaet Berlin;oeffentlich-rechtlich;42090;Berlin
Hertie School;privat, staatlich anerkannt;716;Berlin
Hochschule fuer Musik Hanns Eisler Berlin;oeffentlich-rechtlich;556;Berlin
Hochschule fuer Schauspielkunst Ernst Busch;oeffentlich-rechtlich;222;Berlin
HMKW Hochschule fuer Medien, Kommunikation und Wirtschaft;privat, staatlich anerkannt;2038;Berlin
Hochschule fuer Soziale Arbeit und Paedagogik (HSAP) gemeinnuetzige Betriebsgesellschaft mbH;privat, staatlich anerkannt;561;Berlin
Hochschule fuer Technik und Wirtschaft Berlin;oeffentlich-rechtlich;14523;Berlin
Humboldt-Universitaet zu Berlin;oeffentlich-rechtlich;40144;Berlin
Hochschule fuer Wirtschaft und Recht Berlin;oeffentlich-rechtlich;11454;Berlin
IB Hochschule fuer Gesundheit und Soziales;privat, staatlich anerkannt;512;Berlin
International Psychoanalytic University Berlin;privat, staatlich anerkannt;872;Berlin
Katholische Hochschule fuer Sozialwesen Berlin (KHSB) - Staatlich anerkannte Fachhochschule fuer Sozialwesen;kirchlich, staatlich anerkannt;1219;Berlin
Mediadesign Hochschule fuer Design und Informatik;privat, staatlich anerkannt;751;Berlin
Medical School Berlin - Hochschule fuer Gesundheit und Medizin (MSB);privat, staatlich anerkannt;2840;Berlin
Psychologische Hochschule Berlin (PHB);privat, staatlich anerkannt;731;Berlin
Quadriga Hochschule Berlin;privat, staatlich anerkannt;112;Berlin
