"ort","studisinort"
"Oberursel","17"
"Wustermark","39"
"Herford","46"
"Dietzhoelztal","47"
"Hermannsburg","78"
"Neuendettelsau","97"
"Friedensau","224"
"Speyer","278"
"Bad Liebenzell","305"
"Ottersberg","325"
"Hachenburg","408"
"Fuerth","417"
"Trossingen","419"
"Hameln","443"
"Bad Homburg","448"
"Detmold","637"
"Rothenburg","640"
"Gotha","641"
"Edenkoben","666"
"Friedrichshafen","667"
"Guestrow","669"
"Aschersleben","705"
"Schwetzingen","716"
"Oranienburg","763"
"Offenbach","795"
"Quierschied","802"
"Neuruppin","819"
"Bad Muenstereifel","887"
"Mayen","912"
"Rottenburg","960"
"Koenigs Wusterhausen","978"
"MeiÃen","1035"
"Buxtehude","1067"
"Wedel","1128"
"Kehl","1421"
"Buechenbeuren","1511"
"Alfter","1564"
"Heide","1572"
"Altenholz","1716"
"Geisenheim","1723"
"Nordhausen","2035"
"Neubrandenburg","2082"
"Vallendar","2215"
"Brandenburg","2217"
"Stralsund","2268"
"Biberach","2270"
"Eberswalde","2297"
"Villingen-Schwenningen","2337"
"Bingen","2433"
"Elmshorn","2481"
"Zittau","2532"
"Schmalkalden","2564"
"Rotenburg","2610"
"Sigmaringen","2666"
"Clausthal-Zellerfeld","2753"
"Ludwigsburg","2792"
"Nordkirchen","2795"
"Bremerhaven","2816"
"Gera","2829"
"Zwickau","2931"
"Merseburg","2953"
"Witten","3011"
"Wernigerode","3017"
"Wildau","3357"
"Worms","3391"
"Neubiberg","3456"
"Schwaebisch Gmuend","3458"
"Aschaffenburg","3559"
"Ismaning","3646"
"Offenburg","3761"
"Hof","3822"
"Ansbach","3898"
"Amberg","4077"
"Neu-Ulm","4077"
"Freiberg","4199"
"Frankfurt (Oder)","4230"
"Vechta","4231"
"Emden","4264"
"Ludwigshafen","4400"
"Ilmenau","4452"
"Aalen","4559"
"Landshut","4674"
"Coburg","4700"
"Weimar","4707"
"Kempten","4777"
"Eichstaett","4800"
"Furtwangen","4833"
"Reutlingen","5038"
"Nuertingen","5066"
"Pforzheim","5659"
"Freising","5692"
"Hamm","5874"
"Lemgo","5960"
"Muelheim","5999"
"Mittweida","6079"
"Wilhelmshaven","6399"
"Kleve","6465"
"Cottbus","6587"
"Esslingen","6594"
"Rosenheim","6648"
"Weingarten","6755"
"Koethen","7067"
"Heilbronn","7159"
"Ingolstadt","7537"
"Bad Sooden-Allendorf","7775"
"Wismar","8048"
"Chemnitz","8380"
"Deggendorf","8660"
"Riedlingen","8746"
"Fulda","8976"
"Sankt Augustin","9070"
"Lueneburg","9268"
"Flensburg","9353"
"Greifswald","10296"
"Bamberg","10734"
"Wolfenbuettel","10775"
"Passau","10881"
"Iserlohn","10995"
"Bruehl","11375"
"Luebeck","11512"
"Bayreuth","11950"
"Ulm","12944"
"Krefeld","13179"
"Rostock","13245"
"Nuernberg","14227"
"Hildesheim","14724"
"Siegen","15186"
"Oldenburg","15335"
"Konstanz","15472"
"Idstein","16028"
"Braunschweig","17086"
"Trier","17356"
"Koblenz","18603"
"Mannheim","18810"
"Paderborn","19309"
"Wiesbaden","19510"
"Halle","20480"
"Gelsenkirchen","20698"
"Jena","20918"
"Wuppertal","21466"
"Marburg","21475"
"Kassel","22249"
"Magdeburg","22374"
"Kaiserslautern","24366"
"Augsburg","26114"
"Osnabrueck","26804"
"Tuebingen","28258"
"Saarbruecken","29959"
"Regensburg","31178"
"Goettingen","32337"
"Freiburg","32621"
"Potsdam","33002"
"Bremen","33514"
"Karlsruhe","34243"
"Kiel","34663"
"Bonn","35340"
"Wuerzburg","35906"
"Mainz","36781"
"Dresden","37693"
"Heidelberg","38738"
"Leipzig","38882"
"Erlangen","38960"
"Bielefeld","40381"
"GieÃen","42447"
"Darmstadt","45730"
"Hannover","46593"
"Dortmund","47828"
"Duesseldorf","48255"
"Bochum","54430"
"Muenster","58458"
"Aachen","59613"
"Frankfurt am Main","63004"
"Hagen","63326"
"Stuttgart","85463"
"Essen","87139"
"Koeln","94102"
"Hamburg","107313"
"Erfurt","127318"
"Muenchen","136152"
"Berlin","191058"
"Backnang",NULL
NULL,NULL
"Bad Eilsen",NULL
"Nienburg",NULL
