"region","studirate"
"Thueringen","7779.7828333598201280"
"Hamburg","5671.5687466241605985"
"Bremen","5304.7028315110737314"
"Berlin","5087.7557851658917074"
"Nordrhein-Westfalen","4098.2592536483034785"
"Hessen","3955.8716767636309017"
"Saarland","3098.8267957198090798"
"Baden-Wuerttemberg","3038.3173007494421448"
"Bayern","2921.8903206749924997"
"Rheinland-Pfalz","2724.5951696861137492"
"Sachsen-Anhalt","2598.5037338056555185"
"Sachsen","2505.3155144497806249"
"Niedersachsen","2364.5734365145409682"
"Mecklenburg-Vorpommern","2248.1266634651168218"
"Schleswig-Holstein","2113.7586471944657955"
"Brandenburg","2109.8387764341940862"
