"maennlich","weiblich","region"
1510001,1443269,"Schleswig-Holstein"
46676,45874,"      Flensburg, kreisfreie Stadt"
127568,120149,"      Kiel, kreisfreie Stadt"
113372,104723,"      Lübeck, kreisfreie Stadt, Hansestadt"
40246,39256,"      Neumünster, kreisfreie Stadt"
68691,66561,"      Dithmarschen, Kreis"
104023,99689,"      Herzogtum Lauenburg, Kreis"
86374,82669,"      Nordfriesland, Kreis"
105784,97822,"      Ostholstein, Kreis"
164467,157663,"      Pinneberg, Kreis"
67909,63357,"      Plön, Kreis"
141825,137154,"      Rendsburg-Eckernförde, Kreis"
104424,101614,"      Schleswig-Flensburg, Kreis"
144334,140654,"      Segeberg, Kreis"
67151,65268,"      Steinburg, Kreis"
127157,120816,"      Stormarn, Kreis"
966506,925616,"Hamburg"
4130420,4009822,"Niedersachsen"
814807,796058,"    Braunschweig, Statistische Region"
127034,124770,"      Braunschweig, kreisfreie Stadt"
52719,51829,"      Salzgitter, kreisfreie Stadt"
63520,62441,"      Wolfsburg, kreisfreie Stadt"
90557,89675,"      Gifhorn, Landkreis"
67982,66690,"      Goslar, Landkreis"
46822,45648,"      Helmstedt, Landkreis"
67682,65576,"      Northeim, Landkreis"
70181,68750,"      Peine, Landkreis"
60879,59652,"      Wolfenbüttel, Landkreis"
167431,161027,"      Göttingen, Landkreis"
1113045,1067013,"Hannover, Statistische Region"
600378,573513,"      Region Hannover, Landkreis"
278952,266093,"      Hannover, Landeshauptstadt"
112401,110415,"      Diepholz, Landkreis"
77859,72781,"      Hameln-Pyrmont, Landkreis"
142614,135757,"      Hildesheim, Landkreis"
35799,35112,"      Holzminden, Landkreis"
62409,61060,"      Nienburg (Weser), Landkreis"
81585,78375,"      Schaumburg, Landkreis"
893035,864122,"Lüneburg, Statistische Region"
92856,89138,"      Celle, Landkreis"
103263,98150,"      Cuxhaven, Landkreis"
133036,128854,"      Harburg, Landkreis"
25197,23981,"      Lüchow-Dannenberg, Landkreis"
96372,91180,"      Lüneburg, Landkreis"
59738,56813,"      Osterholz, Landkreis"
83644,83960,"      Rotenburg (Wümme), Landkreis"
72697,72697,"      Heidekreis"
106004,104302,"      Stade, Landkreis"
48456,45906,"      Uelzen, Landkreis"
71772,69141,"      Verden, Landkreis"
1309533,1282629,"Weser-Ems, Statistische Region"
39828,38557,"      Delmenhorst, kreisfreie Stadt"
25464,25071,"      Emden, kreisfreie Stadt"
90088,82742,"      Oldenburg (Oldenburg), kreisfreie Stadt"
86611,80755,"      Osnabrück, kreisfreie Stadt"
38821,37268,"      Wilhelmshaven, kreisfreie Stadt"
65755,62498,"      Ammerland, Landkreis"
97838,94234,"      Aurich, Landkreis"
87981,89720,"      Cloppenburg, Landkreis"
166892,171160,"      Emsland, Landkreis"
51528,48749,"      Friesland, Landkreis"
70761,70508,"      Grafschaft Bentheim, Landkreis"
87708,86640,"      Leer, Landkreis"
67673,66240,"      Oldenburg, Landkreis"
184618,181603,"      Osnabrück, Landkreis"
73196,73728,"      Vechta, Landkreis"
44916,44652,"      Wesermarsch, Landkreis"
29855,28504,"      Wittmund, Landkreis"
346631,338233,"Bremen"
288554,280842,"      Bremen, kreisfreie Stadt"
58077,57391,"      Bremerhaven, kreisfreie Stadt"
9248916,8890200,"Nordrhein-Westfalen"
2695194,2565963,"    Düsseldorf, Regierungsbezirk"
325537,303510,"      Düsseldorf, kreisfreie Stadt"
254319,247892,"      Duisburg, kreisfreie Stadt"
300428,284152,"      Essen, kreisfreie Stadt"
117237,111189,"      Krefeld, kreisfreie Stadt"
135504,132961,"      Mönchengladbach, kreisfreie Stadt"
89335,83069,"      Mülheim an der Ruhr, kreisfreie Stadt"
107914,102910,"      Oberhausen, kreisfreie Stadt"
56904,55709,"      Remscheid, kreisfreie Stadt"
82605,78038,"      Solingen, kreisfreie Stadt"
183088,175788,"      Wuppertal, kreisfreie Stadt"
160324,158966,"      Kleve, Kreis"
253231,236563,"      Mettmann, Kreis"
235552,221712,"      Rhein-Kreis Neuss"
154247,146635,"      Viersen, Kreis"
238969,226869,"      Wesel, Kreis"
2310900,2216694,"Köln, Regierungsbezirk"
175696,160769,"      Bonn, kreisfreie Stadt"
558243,526588,"      Köln, kreisfreie Stadt"
85067,80681,"      Leverkusen, kreisfreie Stadt"
278889,283670,"      Städteregion Aachen, Kreis"
120643,131493,"      Aachen, kreisfreie Stadt"
136775,134058,"      Düren, Kreis"
245152,232974,"      Rhein-Erft-Kreis"
99798,97449,"      Euskirchen, Kreis"
132344,129489,"      Heinsberg, Kreis"
140216,135188,"      Oberbergischer Kreis"
147900,138313,"      Rheinisch-Bergischer Kreis"
310820,297515,"      Rhein-Sieg-Kreis"
1354609,1309671,"    Münster, Regierungsbezirk"
60749,57364,"      Bottrop, kreisfreie Stadt"
132455,130545,"      Gelsenkirchen, kreisfreie Stadt"
